02014244	010F91D1
02014245	010F91D2
02014246	010F91D3
02014247	010F91D4
02014248	010F91D5
02014249	010F91D6
0201424A	010F91D7
0201424B	010F91D8
0201424C	010F91D9
0201424D	010F91DA
0201424E	010F91DB
0201424F	010F91DC
02014250	010F91DD
02014251	010F91DE
02014252	010F91DF
02014253	010F91E0
02014254	010F91F7
02036168	010FFF79
0204225B	010FFF7A
02042361	010FFFFD
0204276A	010FFFFC
02042827	010FFFFB
0204287D	010FFFFA
02042A6E	010FFFF9
02043042	010FFFF8
0204385C	010FFFF7
02044458	010FFFF6
0204533C	010FFF7B
02046339	010FFFF5
0204655F	010FFFF4
02046E5D	010FFB68
0205234B	010FFFF3
0205756C	010FFFF2
02057C52	010F8FDD
02057C53	010F8FAF
02057C54	010FFB67
02062A21	010FFFF1
02065C2F	010FFFF0
0206647B	010FFB8A
02074159	010FFFEF
02076656	010F8FDE
02076657	010F8FDA
02097455	010FFB9E
02097457	010FFBA5
02097458	010FFBA8
02097459	010FFBA9
0209745A	010FFBAA
0209745B	010FFBB7
0209745C	010FFBB8
0209745D	010FFBB9
0209745E	010FFBBA
0209745F	010FFBBB
02097460	010FFBBD
02097461	010FFBC9
02097462	010FFBCA
02097463	010FFBCB
02097464	010FFBCC
02097466	010FFBCE
02097467	010FFBCF
02097468	010FFBD0
02097469	010FFBD1
0209746A	010FFBD2
0209746B	010FFBD3
0209746C	010FFBD4
0209746D	010FFBD5
0209746E	010FFBD6
0209746F	010FFBD7
02097470	010FFBD8
02097471	010FFBD9
02097472	010FFBDA
02097473	010FFBDB
02097474	010FFBDC
02097475	010FFBDD
02097476	010FFBDE
02097477	010FFBDF
02097478	010FFBE0
02097479	010FFBE1
0209747A	010FFBE2
0209747B	010FFBE3
0209747C	010FFBE4
0209747D	010FFBE5
0209747E	010FFBE6
02097521	010FFBE7
02097522	010FFBE8
02097523	010FFBE9
02097524	010FFBEA
02097525	010FFBEB
02097526	010FFBEC
02097527	010FFBED
02097528	010FFBEE
02097529	010FFBEF
0209752A	010FFBF0
0209752B	010FFBF1
0209752C	010FFBF2
0209752D	010FFBF3
0209752E	010FFBF4
0209752F	010FFBF5
02097530	010FFBF6
02097531	010FFBF7
02097532	010FFBF8
02097533	010FFBF9
02097535	010FFBFB
02097536	010FFBFC
02097537	010FFBFD
02097538	010FFBFE
02097539	010FFBFF
0209753A	010FFC00
0209753B	010FFC01
0209753C	010FFC02
0209753D	010FFC03
0209753E	010FFC04
0209753F	010FFC05
02097540	010FFC06
02097541	010FFC07
02097542	010FFC08
02097543	010FFC09
02097544	010FFC0A
02097545	010FFC0B
02097546	010FFC0C
02097547	010FFC0D
02097548	010FFC0E
02097549	010FFC0F
0209754A	010FFC10
0209754B	010FFC11
0209754C	010FFC12
0209754D	010FFC13
0209754E	010FFC14
0209754F	010FFC15
02097550	010FFC16
02097551	010FFC17
02097552	010FFC18
02097553	010FFC19
02097554	010FFC1A
02097555	010FFC1B
02097556	010FFC1C
02097557	010FFC1D
02097558	010FFC1E
02097559	010FFC1F
0209755A	010FFC20
0209755B	010FFC21
0209755C	010FFC22
0209755D	010FFC23
0209755E	010FFC24
0209755F	010FFC25
02097560	010FFC26
02097561	010FFC27
02097562	010FFC28
02097563	010FFC29
02097564	010FFC2A
02097565	010FFC2B
02097566	010FFC2C
02097567	010FFC2D
02097568	010FFC2E
02097569	010FFC2F
0209756A	010FFC30
