0401,0403,041C,0401	013400
0401,0459,0422	013401
0404,0407,0404,0407,0404,0407	013402
0400,0403	013403
0450	013404
0425	013405,014E42
040120	013406
043F,0407	013407
0424,0407	013408
0419,0407	013409
0448,0407	01340A
0447,0407	01340B,015720,010F904D
041F,0475	01340C
0421,0405,0405,0407	01340D
04B3,0407	01340E
0490,0407	01340F
0476,043B,0405,0407	013410
0463,0432,0407	013411
0439,0458,0407	013412
0458,0419,0407	013413
042E,0458,0407	013414
04DA,0407	013415,010200E6
0448,0458,0407	013416
0485,0415,0407	013417
040125,0407	013418
0401,0458,046C,0407	013419
0490,0458,0407	01341A
0422,0414,0458,0407	01341B
040134,043F	01341C
04A0,042B,0458,0407	01341D
040105,0423,0407	01341E
040152,0407	01341F
04A8,0479,0407,0407	013420
043F,04010A,044B	013421
04C7,04A8,047A,0407	013422,013CF6
046A,04012E,0407	013423
043F,0411,040110,0423	013424
040158,04D8,043A,0407	013425
04011E,041B,0403,0401,0423,04A0,0407	013426
040E,0408,0405,0404	013427
043E,040E,0408,043E,040E,0408	013428
0482,0482	013429
0401,0438,0422	01342A
042E,0425,0438	01342B
042E,043D,0480	01342C
042E,0459,0458	01342D
042E,0423,04C9,04AF	01342E
042E,0458,0458,04ED,0498	01342F
0422,0458	013430
0422,0461	013431
0422,044B	013432
0422,0401,0426	013433
0422,0467	013434
0422,0444	013435,010FA79F
0422,046F	013436
0422,0401,0403,0400,0401	013437
0422,042A,0422	013438
0422,04A3	013439
0422,0422,0422	01343A,014F17
0422,049F	01343B
0422,0404,044D	01343C
0422,0428,0425	01343D
0422,0410,0426	01343E
0422,04A0	01343F
0422,044B,0405	013440
0422,0474,0438	013441
0422,04D0	013442,010201EE
0422,047F,043A	013443
0422,04C6	013444
0422,041F,041C,0401	013445
0422,0458,0426	013446,01514B
0422,042A,0400	013447
0422,0414,0489	013448
0422,0428,048F	013449
0422,042E,04AE	01344A
0422,040111	01344B
0422,0416,0481	01344C
0422,040118	01344D
0422,0480,045A	01344E
0422,046B,0452	01344F
0422,041C,0401,0479	013450,01020212
0422,04011D	013451
0422,0401,0458,0422	013452,0102020F
0422,043D,0414,043B	013453
0422,0401,0404,041E,0422	013454
0422,045A,0467	013455
0422,0422,049C	013456
0422,04013B	013457
0422,0493,044D	013458
0422,040104,0407	013459
0422,0409,0446,047C	01345A
0422,040131	01345B
0422,04A0,04A7	01345C
0422,0481,044D	01345D
0422,04B4,044D	01345E
0422,04EF,0423	01345F
0422,0403,0403,043B,0447	013460
0422,040129,0436	013461
0422,0447,043D,0436	013462
0422,0489,0489	013463
0422,0495,04D9	013464
0422,0498,04B1	013465
0422,04A9,048E	013466
0422,04ED,047A	013467
0422,0458,041F,044B	013468
0422,04DE,0467	013469
0422,04B3,0420,0410	01346A
0422,0422,0405,040E,04B9	01346B
0422,0476,0411,0458	01346C
0422,04D9,044E	01346D
0422,0433,04012E	01346E
0422,0401,0404,040138	01346F
0422,047B,040122	013470
0422,040102,0489	013471
0422,0411,041D,046C,0411	013472
0422,042B,0474,042B,0474	013473
0422,0472,0433,045B,043B	013474
0422,04F6,041F,044B	013475
0422,04A3,040125	013476
0422,043D,040116,0415,0415	013477
0422,0411,0458,0419,0458	013478
0422,0401,04DA,0498	013479
0422,040156,043C	01347A
0422,046B,04F8,045A	01347B
0422,04D9,0463,0458	01347C
0422,0479,0433,0458,0447	01347D
0422,040116,04013F	01347E
0422,0480,04014D	01347F
0422,042E,0431,041D,0411,0458	013480
0422,0459,0447,0431,0443	013481
0422,0495,0485,0498	013482
0422,0453,0410,040138	013483
0422,040116,048E,04B4	013484
0422,042E,0467,0467,04AF	013485
0422,0422,0401,0458,04012B	013486
0422,040153,04B4	013487
0422,040144,04A1	013488
0422,0479,0433,0458,0489	013489
0422,0439,0439,0405,0405,0497,0497	01348A
0422,040105,0423,04A7	01348B
0422,04B4,04B4,0433,0427	01348C
0422,043D,043D,043D,04012C	01348D
0422,0401,044B,040152	01348E
0422,046B,04C9,0423,0430	01348F
0422,04011C,042B,0498	013490
0422,0416,04C7,040156	013491
0422,04E5,040126,0423	013492
0422,04B6,0447,040126	013493
0422,04DE,042B,040112	013494
0422,042E,047D,040156	013495
0422,0495,04015E	013496
0422,0401,0403,0403,0410,0433,04010C	013497
0422,040106,043B,04F7	013498
0422,04012C,04F0,045B	013499
0422,04A8,0449,0472,04B9	01349A
0422,04012B,040156	01349B
0422,04011E,041B,0404,0401,0423	01349C
0422,0496,04DE,04D5,0405	01349D
0422,045A,040156,049E	01349E,0102F80C
0422,042E,040167,04AF	01349F
0422,048F,043B,04015B	0134A0
0422,040116,040117,0404,04012C	0134A1
0422,0422,0401,0458,0458,0458,04E4	0134A2
0422,046A,0422,040156,04B9	0134A3
0422,04B5,04B8,04B5	0134A4
0422,045A,04A5,04A5,0401,0458,046C	0134A5
0422,04D9,04D9,04D9,0447	0134A6
0422,04B3,0438,04E7,040156	0134A7
0422,04011E,0404,041E,0401,0458,044B,046F	0134A8
0422,047B,040122,040112,040112	0134A9
0422,040106,040106,0497,040133	0134AA
0401,041C,0401,0426	0134AB
0410,0426,0481	0134AC
0458,0426,0458,0426	0134AD
0410,0426,040133	0134AE
0479,0401,0426,0495,0401,0495,0445	0134AF
0424,0449	0134B0
0424,0467	0134B1
0424,0498	0134B2
041D,0403,0424,0424	0134B3
0424,0474,0438	0134B4
04F0,0423	0134B5
0423,04F0	0134B6
041E,0422,0401,0423	0134B7
0431,040133	0134B8
0401,0404,04D7,0401,0423,0401,0404,04D7,0401,0423	0134B9
041D,046C,0422,040D	0134BA
049A,040137	0134BB
0487,045C,0424,0424	0134BC
