02014421	0401
02014422	0407
02014423	0419
02014424	0418
02014425	043C
02014426	043F
02014427	0441
02014428	0410
02014429	0422
0201442A	0426
0201442B	0424
0201442C	0423
0201442D	0427
0201442E	0439
0201442F	0409,0402
02014430	043A
02014431	0415
02014432	0411
02014433	041C
02014434	043B
02014435	0401,0410
02014436	0401,041C
02014437	044F
02014438	041C,0401
02014439	0403,0431
0201443A	0468
0201443B	0427,0405
0201443C	0465
0201443D	0404,043D
0201443E	0475
0201443F	041F,0407
02014440	0444
02014441	042E,040D
02014442	0401,0426
02014443	0439,0405
02014444	042B,0405
02014445	045F
02014446	043B,0405
02014447	0458
02014448	0447
02014449	0448
0201444A	0467
0201444B	044B
0201444C	0476
0201444D	047A
0201444E	047A
0201444F	047E
02014450	0452
02014451	0479
02014452	044C
02014453	046D
02014454	045A
02014455	0480
02014456	0449
02014457	046E
02014458	0470
02014459	046F
0201445A	045B
0201445B	0443
0201445C	044D
0201445D	0453
0201445E	0471
0201445F	0455
02014460	04C1
02014461	0486
02014462	048D
02014463	049C
02014464	04A5
02014465	04AD
02014466	04B7
02014467	04C5
02014468	043E,040E,0408
02014469	0410,043D
0201446A	0482
0201446B	0401,047B
0201446C	0490
0201446D	042E,0427
0201446E	0422,0410
0201446F	0422,0411
02014470	0422,0419
02014471	0422,041C
02014472	0422,043F
02014473	0422,043C
02014474	0422,0401,040E
02014475	0422,0420
02014476	0413,0422
02014477	0410,0426
02014478	043D,0426
02014479	049F
0201447A	042E,0423
0201447B	0423,041A
0201447C	0423,043D
0201447D	0433,0427
0201447E	0425,0438
02014521	0423,0439
02014522	0418,0439
02014523	0425,0439
02014524	042B,0410
02014525	042B,043D
02014526	04B1
02014527	0422,0415
02014528	0417,0423
02014529	041F,0411
0201452A	0404,044D
0201452B	048C
0201452C	042E,041C
0201452D	0413,0436
0201452E	0414,043B
0201452F	04B2
02014530	0413,043B
02014531	0401,0448
02014532	0401,044B
02014533	0483
02014534	044B,0405
02014535	0404,044B
02014536	047A,0407
02014537	0479,0404
02014538	044C,0405
02014539	046D,0406
0201453A	0491
0201453B	04C2
0201453C	047F,0409
0201453D	0487
0201453E	04BF
0201453F	0471,0403
02014540	04B9
02014541	0493
02014542	04A9
02014543	04A0
02014544	04A0,0407
02014545	0411,043B
02014546	04B3
02014547	0432,0411
02014548	04A7
02014549	042E,0429
0201454A	0498
0201454B	0499
0201454C	04AB
0201454D	0489
0201454E	042A,0422
0201454F	0497
02014550	048F
02014551	04C6
02014552	0415,0415
02014553	04A2
02014554	04AC
02014555	04C7
02014556	04B4
02014557	04A8
02014558	04AA
02014559	0425,0425
0201455A	04A6
0201455B	0494
0201455C	04A4
0201455D	048E
0201455E	0481
0201455F	04D0
02014560	04CD
02014561	048D,0401
02014562	04D8
02014563	04EF
02014564	0405,0481
02014565	04EC
02014566	0404,04B7
02014567	04F2
02014568	04D6
02014569	0422,0452
0201456A	0422,047A
0201456B	0422,0448
0201456C	0422,0475
0201456D	0422,044F
0201456E	0422,0453
0201456F	0422,0401,043E
02014570	0422,045A
02014571	0422,0439,0405
02014572	0454,0426
02014573	0458,0426
02014574	04E2
02014575	04E3
02014576	0463,0432
02014577	04E8
02014578	0474,0438
02014579	04E9
0201457A	0443,0439
0201457B	043A,0458
0201457C	0449,043A
0201457D	042B,046F
0201457E	042B,0462
02014621	0456,0415
02014622	0416,045B
02014623	0422,045F
02014624	0431,0445
02014625	0411,044D
02014626	041C,0401,041C
02014627	041C,0458
02014628	0466,0436
02014629	0421,0401,0436
0201462A	0447,043D
0201462B	0419,0458
0201462C	0411,0458
0201462D	0414,0458
0201462E	0439,0458
0201462F	0458,0419
02014630	0458,0436
02014631	0458,0439
02014632	0458,0409,0402
02014633	0409,0401,0458
02014634	0416,0458
02014635	0458,0437
02014636	0458,043A
02014637	0458,0423
02014638	04DF
02014639	0458,042D
0201463A	043D,0458
0201463B	042B,0458
0201463C	0458,0423
0201463D	0458,043A
0201463E	0459,0423
0201463F	0459,0422
02014640	0467,041C
02014641	04E0
02014642	0404,0483
02014643	0476,043B
02014644	0476,043C
02014645	043C,047A
02014646	046B,0415
02014647	046D,0415
02014648	0449,0434
02014649	0449,041A
0201464A	0414,0449
0201464B	042E,045B
0201464C	0414,045B
0201464D	0443,0431
0201464E	047F,043A
0201464F	043D,044D
02014650	0471,043D
02014651	04FD
02014652	04F8
02014653	04D5
02014654	04A0,0419
02014655	04A0,043C
02014656	04A0,0423
02014657	04A0,041C
02014658	04A7,0405
02014659	0498,0401
0201465A	048A,0405
0201465B	04CE
0201465C	04CA
0201465D	04CA
0201465E	0489,0407
0201465F	0401,0497
02014660	04C6
02014661	04FE
02014662	04AC,0401
02014663	04F9
02014664	04C7,0411
02014665	04C7,0419
02014666	04C7,0436
02014667	048E,0436
02014668	042E,047F
02014669	0481,0405
0201466A	04F1
0201466B	04D4
0201466C	04CC
0201466D	04EB
0201466E	04F3
0201466F	04F4
02014670	04D9
02014671	04DA
02014672	04DB
02014673	04DC
02014674	040E,0497
02014675	04F0
02014676	04FF
02014677	04DD
